num,width,height
644,20.00,13.00
645,5.00,0.00
646,4.00,7.00
647,12.00,18.00
648,15.21,2.68
649,17.00,13.00
650,2.00,4.00
651,19.09,4.68
652,5.00,3.00
653,47.63,19.10
654,3.00,4.00
655,3.90,13.12
656,7.00,7.00
657,7.88,17.60
658,11.29,14.05
659,8.49,10.61
660,0.00,0.00
661,5.00,6.00
662,2.00,6.00
663,2.00,7.00
664,3.87,12.15
665,9.47,4.35
666,3.00,8.00
667,3.00,9.00
668,21.53,77.45
669,4.00,6.00
670,3.00,5.00
671,8.00,10.00
672,0.00,0.00
673,14.00,22.00
674,2.00,4.00
675,11.00,3.00
676,12.22,3.62
677,10.00,10.00
678,3.00,4.00
679,3.00,7.00
680,12.37,29.10
681,6.71,1.79
682,15.34,5.52
683,12.13,9.70
684,24.59,17.64
685,10.00,8.00
686,13.24,27.51
687,8.00,19.00
688,3.00,6.00
689,2.00,5.00
690,13.87,16.62
691,6.00,8.00
692,16.46,48.76
693,3.18,31.78
694,25.07,8.54
695,6.00,4.00
696,6.00,7.00
697,4.96,28.64
698,4.12,13.82
699,13.34,19.65
700,17.12,7.44
701,10.16,23.63
702,9.49,12.97
703,32.26,15.52
704,7.40,3.45
705,3.00,5.00
706,9.20,20.30
707,6.00,7.00
708,15.00,12.00
709,16.69,20.08
710,6.00,5.00
711,13.52,26.00
712,3.00,6.00
713,37.48,12.02
714,3.00,3.00
715,14.00,23.00
716,5.00,4.00
717,5.37,10.29
718,5.00,10.00
719,10.16,3.42
720,8.49,13.44
721,14.00,5.00
722,40.84,16.73
723,17.38,12.75
724,6.87,17.91
725,7.03,3.64
726,13.18,35.85
727,4.95,7.78
728,2.00,5.00
729,8.38,5.43
730,12.80,11.52
731,9.80,4.80
732,49.64,23.70
733,21.97,12.24
734,26.87,15.56
735,15.81,7.90
736,3.58,5.37
737,16.73,11.64
738,4.00,6.00
739,9.52,17.46
740,8.00,4.00
741,11.62,4.53
742,7.00,11.00
743,4.00,3.00
744,7.00,10.00
745,6.00,11.00
746,4.47,8.05
747,17.00,15.00
748,5.00,6.00
749,8.49,4.37
750,15.82,22.23
751,7.00,3.00
752,3.00,3.00
753,22.60,49.68
754,6.71,13.86
755,12.30,5.80
756,13.42,3.13
757,3.53,11.37
758,8.49,16.26
759,4.00,5.00
760,0.00,0.00
761,9.00,4.00
762,56.79,12.38
763,15.15,8.28
764,21.21,8.38
765,4.16,8.32
766,17.11,1.79
767,7.91,5.69
768,19.19,8.33
769,3.00,6.00
770,7.00,4.00
771,10.73,7.16
772,3.00,8.00
773,3.58,5.81
774,9.84,8.50
775,20.74,11.30
776,13.86,12.07
777,6.36,12.02
778,20.43,9.69
779,1.00,7.00
780,13.00,15.00
781,23.85,12.48
782,15.00,27.54
783,21.00,18.00
784,1.34,5.81
785,3.16,0.95
786,0.98,7.06
787,8.60,1.11
788,12.72,35.87
789,6.00,0.00
790,29.04,6.00
791,6.00,10.00
792,12.20,4.71
793,13.00,6.00
794,12.73,12.02
795,1.00,0.00
796,7.00,12.00
797,13.19,4.40
798,6.00,8.00
799,11.98,4.88
800,7.07,4.95
801,0.00,0.00
802,31.54,10.75
803,34.60,16.60
804,6.00,13.00
805,39.03,25.62
806,5.00,8.00
807,3.79,2.85
808,8.00,21.00
809,2.00,4.00
810,15.52,7.28
811,16.72,24.38
812,14.00,17.00
813,11.71,11.04
814,24.02,3.75
815,18.02,26.88
816,8.75,6.09
817,3.00,6.00
818,4.00,7.00
819,3.00,4.00
820,26.86,11.09
821,6.00,10.00
822,32.28,11.89
823,12.87,43.33
824,4.92,17.44
825,11.32,3.09
826,1.00,5.00
827,7.00,9.00
828,24.75,14.85
829,9.37,36.08
830,4.00,5.00
831,4.00,5.00
832,11.54,4.47
833,7.99,21.03
834,18.00,21.00
835,10.78,1.65
836,0.71,4.95
837,11.64,11.16
838,19.23,17.58
839,4.43,4.11
840,17.39,12.33
841,5.00,10.00
842,7.00,1.00
843,20.52,11.37
844,12.00,26.00
845,5.00,7.00
846,4.45,12.15
847,3.00,4.00
848,13.00,12.00
849,3.00,3.00
850,11.86,31.33
